id,type,status,priority,created_at,started_at,completed_at,payload,result,error,assigned_agent,retry_count,max_retries,last_retry_at
b4a0795d-bc98-405a-9140-e3d7097516dd,analytics_refresh,cancelled,low,2026-05-16T01:28:49,,2026-05-16T01:29:00,{},,,founder_agent,0,3,
df708cec-9b03-4af5-9bf4-1ba6f25b6a1d,generate_listing,cancelled,critical,2026-05-16T01:28:49,,2026-05-16T01:28:49,"""bad-payload""",,,founder_agent,1,3,2026-05-16T01:28:49
a897e8d4-c46b-46c0-a285-f259ec23934f,review_product,completed,critical,2026-05-16T01:34:01,2026-05-16T01:34:01,2026-05-16T01:34:01,"{""product_id"": ""1""}","{""dry_run"": true, ""message"": ""Simulated task. No paid APIs, uploads, or generation were run."", ""payload"": {""product_id"": ""1""}, ""task_type"": ""review_product""}",,founder_agent,0,3,
7b0a383e-029c-4803-9802-c2f384315e5a,create_variant,cancelled,critical,2026-05-16T01:34:01,2026-05-16T01:34:01,2026-05-16T01:34:01,"""bad""",,Task payload must be a JSON object.,founder_agent,0,3,
790660f6-e253-496b-95ec-4d7c692a5fb1,niche_research,completed,normal,2026-05-16T01:39:36,2026-05-16T01:44:13,2026-05-16T01:44:13,"{""keywords"": [""video games"", ""gift idea"", ""fallout"", ""lego""]}","{""dry_run"": true, ""message"": ""Simulated task. No paid APIs, uploads, or generation were run."", ""payload"": {""keywords"": [""video games"", ""gift idea"", ""fallout"", ""lego""]}, ""task_type"": ""niche_research""}",,founder_agent,0,3,
00d1173e-6340-4ce1-897c-54087d5c17f8,batch_generation,cancelled,normal,2026-05-16T01:44:13,,2026-05-16T01:44:13,"{""amount"": 1, ""batch_id"": ""3a582789-783b-4d31-8b84-4cd8adee9a0c"", ""niche"": ""dry-run batch niche""}",,,founder_agent,0,3,
a763e391-bd4e-4df9-b95e-ba856531e587,batch_generation,queued,normal,2026-05-16T01:49:20,,,"{""amount"": 6, ""batch_id"": ""b7276685-c43c-4a60-a1c9-2c8370a89fb6"", ""niche"": ""meme sticker design""}",,,founder_agent,0,3,
67bddc95-10a4-41a5-927a-eae8597893b9,generate_listing,cancelled,critical,2026-05-16T01:53:52,2026-05-16T01:53:52,2026-05-16T01:53:52,"""malformed""",,Task payload must be a JSON object.,founder_agent,0,3,
74c17538-7c94-464b-b24a-2c8db9921c73,analytics_refresh,cancelled,critical,2026-05-16T01:58:58,2026-05-16T01:58:58,2026-05-16T01:58:58,"[""bad""]",,Task payload must be a JSON object.,founder_agent,0,3,
eeebb91d-032a-41c5-9377-15f3bc676710,analytics_refresh,cancelled,critical,2026-05-16T02:03:36,2026-05-16T02:03:36,2026-05-16T02:03:36,"[""bad""]",,Task payload must be a JSON object.,founder_agent,0,3,
07de75e7-913d-4f7f-b8b9-6ebad0d6fa54,analytics_refresh,cancelled,critical,2026-05-16T02:10:41,2026-05-16T02:10:41,2026-05-16T02:10:41,"[""bad""]",,Task payload must be a JSON object.,founder_agent,0,3,
3ee99825-811d-468e-a6fc-b23d248a2fe1,batch_generation,queued,normal,2026-05-16T03:46:14,,,"{""amount"": 3, ""batch_id"": ""8f9b01c1-1af8-48e8-a3c8-e07c471d372d"", ""niche"": ""Sticker designs that will sell good on esty"", ""workflow_id"": ""dde5cef7-9453-4dc5-aad2-52ce9ab6700f""}",,,workflow_engine,0,3,
7328275e-80ba-49d7-a1e3-54f59b1ece32,batch_review,queued,normal,2026-05-16T03:46:14,,,"{""batch_id"": ""8f9b01c1-1af8-48e8-a3c8-e07c471d372d"", ""workflow_id"": ""dde5cef7-9453-4dc5-aad2-52ce9ab6700f""}",,,workflow_engine,0,3,
8cea6b73-dd78-46eb-9bfe-ded10bf5b768,batch_mockups,queued,high,2026-05-16T03:46:14,,,"{""batch_id"": ""8f9b01c1-1af8-48e8-a3c8-e07c471d372d"", ""workflow_id"": ""dde5cef7-9453-4dc5-aad2-52ce9ab6700f""}",,,workflow_engine,0,3,
